Class,Period_0,Period_1,Period_2,Period_3,Period_4,Period_5,Period_6,Period_7
<<<<<<< HEAD
0,0,0,0,0,1,1,1,1
1,0,0,1,0,0,1,0,0
2,0,0,0,1,0,0,1,0
3,0,0,0,1,1,1,0,0
4,0,0,0,0,0,0,1,1
5,0,1,0,0,1,0,1,1
6,1,1,0,0,0,0,1,0
7,1,0,0,0,0,0,1,0
8,0,0,0,0,1,0,1,1
9,0,1,1,0,0,0,0,1
10,0,0,0,1,0,0,1,0
11,0,0,1,0,1,1,0,1
12,0,0,1,0,1,0,0,0
13,0,1,0,1,0,0,1,1
14,1,0,0,0,0,1,1,1
=======
0,0,1,1,0,0,0,0,0
1,1,0,1,1,0,0,1,0
2,0,0,1,0,0,1,0,1
3,0,1,0,1,0,0,0,0
4,1,1,0,1,0,0,0,1
5,1,0,0,1,1,0,0,0
6,0,0,0,1,0,0,1,0
7,0,1,1,0,0,0,1,1
8,0,1,0,0,0,1,0,1
9,0,0,0,0,1,1,0,1
10,0,0,1,1,1,0,0,0
11,1,1,0,0,0,0,1,0
12,1,0,0,0,1,0,0,0
13,0,0,1,0,0,1,1,0
14,0,0,0,1,0,0,1,1
>>>>>>> 3394cba3a3ced0a832c42154c23b95bf51016e12
