,Class1,Class2,Class3,Class4,Class5,Class6,Class7,Class8,Class9,Class10,Class11,Class12,Class13,Class14,Class15,Athlete,Chorus
0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0
1,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,1
2,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,1
3,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1
4,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0
5,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0
6,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,1
7,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0
8,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,1
9,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1
10,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0
11,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,1,0
12,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0
13,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0
14,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1
15,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
16,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1
17,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0
18,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0
19,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0
20,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1
21,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1
22,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0
23,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0
24,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0
25,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0
26,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0
27,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
28,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0
29,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0
30,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1
31,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
32,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,1,0
33,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,1,0
34,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0
35,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0
36,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
37,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1
38,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1
39,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0
40,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,1,0
41,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0
42,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0
43,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0
44,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,1,0
45,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0
46,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0
47,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0
48,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0
49,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0
50,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0
51,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0
52,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0
53,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0
54,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0
55,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0
56,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,0
57,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1
58,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0
59,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0
60,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1
61,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0
62,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
63,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0
64,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0
