,Class,PeriodsA,PeriodsB
0,History,"[7, 3, 2]",[]
1,Biology,"[5, 1, 2, 4]","[0, 1, 4]"
2,Chemistry,"[6, 2]","[0, 4]"
3,Physics,"[6, 2, 4]","[2, 0]"
4,English,"[2, 3, 7, 6]","[6, 7, 0]"
5,Optimization,"[6, 1]","[1, 5, 7, 6]"
6,Machine Learning,[],"[2, 0, 1]"
7,Business,"[4, 3, 6]","[5, 2, 0, 6]"
8,Astro Engineering,"[4, 3]","[5, 6, 1]"
9,Aero Engineering,"[1, 3]","[7, 0]"
10,Political Science,"[4, 5, 3]",[]
11,Social Science,"[1, 0, 5]","[4, 5, 3]"
12,Chinese,"[1, 5, 4]","[7, 6, 4]"
13,French,"[3, 7, 2, 4]","[3, 7]"
14,Spanish,"[0, 5, 1, 6]","[0, 6]"
15,Algebra,"[2, 3, 5, 6]","[2, 7, 4, 0]"
