,Class0,Class1,Class2,Class3,Class4
0,0,0,0,1,1
1,0,1,0,1,0
2,1,0,0,0,1
3,0,1,0,0,1
4,0,1,1,0,0
5,0,0,0,1,1
6,1,0,0,1,0
7,1,1,0,0,0
8,1,0,0,0,1
9,0,0,1,0,1
10,0,0,1,1,0
11,0,0,1,0,1
12,0,1,0,0,1
13,1,0,0,1,0
14,0,1,0,0,1
15,1,0,0,1,0
16,0,1,0,1,0
17,0,0,1,1,0
18,0,1,1,0,0
19,1,0,0,0,1
20,0,1,0,0,1
21,0,0,1,0,1
22,1,0,0,1,0
23,0,1,0,0,1
24,1,0,0,0,1
25,0,0,1,1,0
26,0,0,0,1,1
27,0,0,1,0,1
28,0,0,0,1,1
29,1,1,0,0,0
30,0,1,0,0,1
31,0,1,0,0,1
32,0,1,1,0,0
33,1,0,0,0,1
34,0,0,1,0,1
35,0,1,0,1,0
36,0,1,1,0,0
37,1,0,0,0,1
38,0,0,1,1,0
39,0,0,0,1,1
40,0,1,1,0,0
41,1,0,0,0,1
42,0,0,1,0,1
43,1,0,0,0,1
44,0,1,1,0,0
45,0,0,0,1,1
46,0,0,1,0,1
47,0,0,1,0,1
48,0,0,1,0,1
49,0,1,1,0,0
