,Class 1,Class 2,Class 3,Class 4,Class 5,Class 6,Athlete,Chorus
0,Chinese,Political Science,Biology,Chemistry,Astro Engineering,Algebra,0,0
1,English,Spanish,Business,Machine Learning,Algebra,Astro Engineering,0,0
2,Spanish,Social Science,Biology,Machine Learning,Chorus1,Chorus2,0,1
3,Astro Engineering,Political Science,Chemistry,Optimization,Spanish,Machine Learning,0,0
4,English,Business,French,Physics,Machine Learning,Algebra,1,0
5,Optimization,Chinese,Aero Engineering,Machine Learning,Business,Chemistry,0,0
6,Spanish,History,Social Science,Optimization,Political Science,Machine Learning,0,0
7,French,Chemistry,Algebra,Social Science,Spanish,Astro Engineering,1,0
8,Spanish,Social Science,Political Science,Biology,English,Machine Learning,0,0
9,Political Science,Optimization,Astro Engineering,Business,Algebra,English,1,0
10,Aero Engineering,Algebra,Optimization,Social Science,Astro Engineering,Biology,0,0
11,Social Science,Spanish,Algebra,Chinese,French,Machine Learning,0,0
12,Chemistry,Chinese,Social Science,Physics,Chorus1,Chorus2,0,1
13,Physics,History,Biology,Optimization,Chorus1,Chorus2,0,1
14,Algebra,Chemistry,Political Science,Optimization,Aero Engineering,Astro Engineering,1,0
15,Aero Engineering,Spanish,History,Physics,Optimization,Biology,1,0
16,Spanish,Business,Chemistry,French,Physics,Social Science,0,0
17,Spanish,Machine Learning,Optimization,Algebra,Chorus1,Chorus2,0,1
18,Business,Physics,History,Algebra,French,Aero Engineering,0,0
19,History,Spanish,Algebra,French,Machine Learning,Biology,0,0
20,Physics,Chinese,Social Science,French,Chemistry,Optimization,1,0
21,Business,Political Science,Chemistry,Optimization,Social Science,History,0,0
22,Chinese,Chemistry,Spanish,Astro Engineering,Social Science,Business,0,0
23,English,Business,Optimization,Machine Learning,Chorus1,Chorus2,0,1
24,Machine Learning,Chemistry,Spanish,History,Social Science,Astro Engineering,0,0
25,Chemistry,Biology,Political Science,Machine Learning,Chinese,Spanish,0,0
26,Chemistry,Optimization,Chinese,History,Algebra,French,1,0
27,Chinese,Optimization,Biology,Algebra,Chorus1,Chorus2,0,1
28,Aero Engineering,Chemistry,French,Social Science,Spanish,English,0,0
29,Biology,Social Science,Chinese,Optimization,Chorus1,Chorus2,0,1
30,French,English,History,Machine Learning,Algebra,Social Science,0,0
31,Chemistry,Aero Engineering,Machine Learning,French,Biology,Physics,1,0
32,Physics,Spanish,Optimization,Aero Engineering,French,English,1,0
33,Chinese,Machine Learning,Business,History,Political Science,Biology,1,0
34,History,Aero Engineering,Astro Engineering,Social Science,Physics,Algebra,1,0
35,Optimization,Aero Engineering,Political Science,Algebra,Business,Social Science,1,0
36,History,Social Science,Optimization,English,Chinese,French,1,0
37,Optimization,History,French,Aero Engineering,Chorus1,Chorus2,0,1
38,Biology,Political Science,Physics,Business,Astro Engineering,Optimization,0,0
39,Physics,Astro Engineering,Biology,English,Chinese,Social Science,0,0
40,Chemistry,Spanish,Chinese,Astro Engineering,Optimization,Business,0,0
41,Social Science,Aero Engineering,Spanish,History,Biology,Business,0,0
42,Physics,Aero Engineering,Optimization,Business,Social Science,French,0,0
43,Chinese,Astro Engineering,Physics,French,Social Science,Aero Engineering,0,0
44,Political Science,Aero Engineering,French,Optimization,Astro Engineering,Chinese,0,0
45,Aero Engineering,History,Social Science,Business,Physics,Machine Learning,0,0
46,Algebra,Physics,English,Social Science,Aero Engineering,Machine Learning,0,0
47,History,French,Political Science,Machine Learning,Business,Physics,0,0
48,Algebra,Physics,Chemistry,French,Biology,Business,0,0
49,Machine Learning,Astro Engineering,Biology,Aero Engineering,Optimization,Social Science,1,0
50,Physics,Political Science,Chinese,Aero Engineering,Chemistry,Algebra,1,0
51,History,Aero Engineering,Algebra,Chinese,Spanish,Biology,0,0
52,Aero Engineering,Social Science,Biology,English,Business,Spanish,0,0
53,Social Science,Algebra,History,Political Science,Chorus1,Chorus2,0,1
54,Spanish,Astro Engineering,Social Science,Machine Learning,History,Optimization,1,0
55,Spanish,Chinese,Astro Engineering,Social Science,Physics,Optimization,0,0
56,Biology,Political Science,Aero Engineering,Algebra,French,Machine Learning,0,0
57,Machine Learning,Political Science,Business,Social Science,Physics,Optimization,0,0
58,Chinese,Business,Machine Learning,Physics,Algebra,Political Science,0,0
59,Chinese,Aero Engineering,Astro Engineering,Biology,Optimization,Social Science,0,0
60,Astro Engineering,French,Machine Learning,Spanish,Chorus1,Chorus2,0,1
61,Chinese,Physics,Algebra,Astro Engineering,Political Science,Business,1,0
62,Spanish,Aero Engineering,Algebra,Biology,Astro Engineering,English,0,0
63,History,Spanish,Algebra,Social Science,English,Chemistry,0,0
64,Machine Learning,History,Biology,Spanish,Chorus1,Chorus2,0,1
65,Astro Engineering,French,Physics,Machine Learning,Chemistry,Chinese,0,0
66,History,Social Science,Aero Engineering,Political Science,Algebra,Chemistry,0,0
67,Business,Optimization,Astro Engineering,Chemistry,Aero Engineering,Physics,1,0
68,Biology,Chemistry,Physics,Chinese,History,Machine Learning,0,0
69,Biology,Chinese,Optimization,Astro Engineering,Algebra,History,0,0
70,Biology,Business,Machine Learning,Aero Engineering,Chorus1,Chorus2,0,1
71,Chemistry,Spanish,Political Science,Social Science,Aero Engineering,Physics,0,0
72,Social Science,Physics,French,Business,Political Science,Algebra,0,0
73,History,Chinese,Chemistry,Machine Learning,Physics,Optimization,0,0
74,Machine Learning,Spanish,Physics,Aero Engineering,Biology,English,1,0
75,Chemistry,Social Science,Biology,Optimization,Chinese,Astro Engineering,1,0
76,Aero Engineering,History,Machine Learning,Astro Engineering,Physics,Spanish,0,0
77,Aero Engineering,Chemistry,Business,History,Chinese,Biology,1,0
78,Political Science,Chinese,Business,Astro Engineering,Chorus1,Chorus2,0,1
79,Physics,Aero Engineering,Biology,Chemistry,Optimization,Spanish,0,0
80,Social Science,Astro Engineering,Business,Chinese,Machine Learning,History,0,0
81,Social Science,Aero Engineering,Chinese,Business,Political Science,Chemistry,1,0
82,Social Science,Spanish,Machine Learning,Algebra,French,Optimization,0,0
83,Social Science,Astro Engineering,Chinese,Machine Learning,Chemistry,French,0,0
84,Physics,Spanish,Business,Algebra,Machine Learning,Chinese,1,0
85,Astro Engineering,Chemistry,Social Science,Machine Learning,Chinese,Spanish,0,0
86,Business,Political Science,Physics,Optimization,Biology,Aero Engineering,0,0
87,History,Chemistry,English,Political Science,Spanish,Astro Engineering,1,0
88,English,French,Machine Learning,Political Science,Chinese,Astro Engineering,1,0
89,Astro Engineering,Political Science,Business,Chemistry,Social Science,English,0,0
90,Business,History,Chinese,Social Science,Biology,Physics,0,0
91,Algebra,Physics,Political Science,Astro Engineering,Aero Engineering,Chemistry,0,0
92,Chinese,Physics,Business,English,Political Science,Machine Learning,0,0
93,Astro Engineering,Chinese,Social Science,Aero Engineering,Chorus1,Chorus2,0,1
94,Social Science,Chinese,Physics,Spanish,Algebra,Business,0,0
95,Biology,Machine Learning,Political Science,Optimization,Chorus1,Chorus2,0,1
96,Physics,Aero Engineering,Chemistry,Spanish,Business,Machine Learning,0,0
97,Social Science,Political Science,Chemistry,Astro Engineering,Business,Spanish,0,0
98,Algebra,Business,Political Science,Social Science,Aero Engineering,Chinese,0,0
99,Spanish,Chemistry,Biology,Algebra,Political Science,Astro Engineering,1,0
100,Algebra,Machine Learning,English,Spanish,Physics,History,0,0
101,Astro Engineering,History,Physics,Aero Engineering,Machine Learning,Chinese,0,0
102,History,Social Science,Business,Spanish,Physics,Astro Engineering,0,0
103,Business,Chemistry,Algebra,Political Science,Astro Engineering,Optimization,0,0
104,History,Chinese,Chemistry,Algebra,Optimization,Aero Engineering,1,0
105,Optimization,Aero Engineering,Political Science,Chinese,Chorus1,Chorus2,0,1
106,Chemistry,Chinese,History,Algebra,Chorus1,Chorus2,0,1
107,History,Political Science,English,French,Astro Engineering,Algebra,0,0
108,Physics,Algebra,History,Machine Learning,English,Optimization,1,0
109,Machine Learning,Algebra,Chemistry,Business,Astro Engineering,Aero Engineering,0,0
110,History,English,Social Science,Spanish,Chemistry,Business,0,0
111,Machine Learning,Algebra,French,Business,Political Science,Spanish,1,0
112,English,Optimization,Aero Engineering,Physics,Biology,Machine Learning,0,0
113,Physics,French,English,Astro Engineering,Spanish,Chinese,1,0
114,Chemistry,Machine Learning,Aero Engineering,Algebra,Social Science,Biology,1,0
115,Astro Engineering,Political Science,English,Business,Aero Engineering,Machine Learning,1,0
116,Algebra,Physics,Machine Learning,Aero Engineering,French,Chinese,1,0
117,English,History,Physics,Machine Learning,Biology,Aero Engineering,0,0
118,Biology,Optimization,Chemistry,Algebra,Social Science,Machine Learning,0,0
119,Business,Physics,Optimization,Political Science,Algebra,Astro Engineering,1,0
120,Spanish,Astro Engineering,Algebra,Political Science,Chemistry,History,0,0
121,History,Machine Learning,Astro Engineering,Optimization,English,Social Science,1,0
122,Algebra,French,History,Social Science,English,Machine Learning,0,0
123,Chemistry,French,Business,Spanish,Chorus1,Chorus2,0,1
124,History,English,Business,Aero Engineering,Algebra,Machine Learning,0,0
125,Biology,Social Science,Political Science,Chinese,Astro Engineering,Algebra,0,0
126,Business,Algebra,History,Astro Engineering,Physics,Political Science,0,0
127,French,Astro Engineering,Political Science,Social Science,Chorus1,Chorus2,0,1
128,English,Business,Aero Engineering,Chemistry,Machine Learning,Chinese,1,0
129,French,Chemistry,Spanish,History,Biology,Optimization,0,0
130,Business,English,Algebra,Biology,French,History,0,0
131,History,Spanish,Aero Engineering,Algebra,Chorus1,Chorus2,0,1
132,Algebra,Optimization,Machine Learning,Spanish,Biology,Chinese,0,0
133,Social Science,Chinese,Aero Engineering,Spanish,Chemistry,Biology,1,0
134,Business,French,Algebra,Physics,Social Science,Astro Engineering,0,0
135,Astro Engineering,History,Physics,Algebra,Aero Engineering,Spanish,1,0
136,Aero Engineering,Optimization,Algebra,Biology,History,French,1,0
137,Astro Engineering,Business,Chemistry,Aero Engineering,Chorus1,Chorus2,0,1
138,Physics,History,French,English,Aero Engineering,Business,0,0
139,Business,French,English,Biology,Aero Engineering,Physics,0,0
140,Algebra,English,Chemistry,Aero Engineering,Chorus1,Chorus2,0,1
141,Algebra,History,Aero Engineering,Astro Engineering,Social Science,Biology,0,0
142,History,French,Business,Algebra,Physics,Social Science,0,0
143,Business,Aero Engineering,Machine Learning,Political Science,Biology,Social Science,0,0
144,Machine Learning,History,French,Astro Engineering,Chorus1,Chorus2,0,1
145,Political Science,Optimization,Social Science,Business,Algebra,Biology,1,0
146,Social Science,Aero Engineering,Astro Engineering,History,Chorus1,Chorus2,0,1
147,Political Science,Social Science,English,Optimization,Astro Engineering,Chinese,0,0
