,Capacity
0,45
1,50
2,31
3,54
4,50
5,62
6,65
7,51
8,60
9,48
10,59
11,65
12,42
13,32
14,50
15,36
16,41
17,41
18,60
19,53
20,45
21,38
22,52
23,46
24,51
25,37
26,52
27,69
28,56
29,67
30,55
31,39
32,45
33,30
34,49
35,45
36,40
37,38
38,57
39,46
40,61
41,48
42,42
43,37
44,32
45,59
46,63
47,60
48,63
49,61
50,36
51,53
52,32
53,40
54,68
55,62
56,36
57,31
58,58
59,34
60,45
61,50
62,32
63,48
64,62
65,69
66,36
67,31
68,44
69,66
70,47
71,46
72,30
73,33
74,61
75,64
76,42
77,57
78,42
79,39
80,69
81,63
82,62
83,43
84,59
85,31
86,68
87,49
88,65
89,57
90,34
91,43
92,49
93,50
94,53
95,45
96,70
97,45
98,64
99,36
100,69
101,31
102,32
103,59
104,49
105,54
106,54
107,59
108,66
109,47
110,52
111,36
112,36
113,32
114,58
115,42
116,55
117,45
118,31
119,64
120,46
121,65
122,30
123,41
124,40
125,40
126,41
127,37
128,38
129,68
130,58
131,66
132,65
133,66
134,30
135,42
136,66
137,63
138,52
139,70
140,30
141,65
142,53
143,69
144,59
145,51
146,44
147,68
148,62
149,58
150,50
151,56
152,56
153,60
154,31
155,31
156,32
157,65
158,48
159,41
160,42
161,53
162,66
163,32
164,36
165,39
166,53
167,70
168,45
169,41
170,64
171,65
172,45
173,48
174,57
175,60
176,40
177,70
178,70
179,54
180,40
181,38
182,39
183,35
184,45
185,64
186,67
187,58
188,56
189,34
190,33
191,57
192,40
193,58
194,69
195,40
196,69
197,43
198,69
199,32
200,67
201,48
202,56
203,30
204,46
205,53
206,45
207,60
208,60
209,39
210,50
211,44
212,48
213,53
214,34
215,45
216,57
217,31
218,36
219,35
220,38
221,69
222,69
223,70
224,31
225,38
226,49
227,51
228,67
229,33
230,49
231,64
232,42
233,68
234,57
235,52
236,57
237,67
238,53
239,60
240,53
241,59
242,39
243,61
244,52
245,33
246,47
247,65
248,35
249,63
250,50
251,50
252,70
253,64
254,61
255,46
256,45
257,52
258,70
259,40
260,45
261,51
262,56
263,41
264,59
265,46
