Class,Classroom_0,Classroom_1,Classroom_2,Classroom_3,Classroom_4,Classroom_5,Classroom_6,Classroom_7,Classroom_8,Classroom_9,Classroom_10
0,0,0,0,0,1,1,0,1,1,0,1
1,1,0,0,0,0,1,1,1,0,1,0
2,1,0,0,0,0,0,1,1,1,0,1
3,1,0,0,1,0,0,1,1,1,0,1
4,1,1,1,1,1,0,1,0,0,0,0
5,0,0,0,1,1,1,0,1,0,1,1
6,1,0,0,1,0,0,0,0,1,1,0
7,0,0,1,1,0,1,0,0,0,1,0
8,0,0,0,1,0,1,0,1,1,1,0
9,1,0,0,0,1,1,0,0,0,1,0
10,0,1,1,0,1,1,1,0,0,1,0
11,1,0,1,0,1,0,1,1,0,1,0
12,1,1,0,0,0,0,1,0,1,1,0
13,1,1,0,0,1,0,0,1,0,0,0
14,0,0,0,1,0,0,1,1,0,0,1
