Class,Classroom_0,Classroom_1,Classroom_2,Classroom_3,Classroom_4,Classroom_5,Classroom_6,Classroom_7,Classroom_8,Classroom_9,Classroom_11,Classroom_12,Classroom_13,Classroom_14,Classroom_15,Classroom_16,Classroom_17,Classroom_18,Classroom_19,Classroom_20,Classroom_21,Classroom_22
0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0
3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0
4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
5,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
6,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0
7,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
9,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1
10,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
11,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
12,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
13,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
14,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0
