,Class0,Class1,Class2,Class3,Class4
0,1,0,1,1,0
1,1,1,0,1,0
2,0,1,1,0,1
3,1,1,0,0,1
4,1,0,0,1,1
5,0,1,1,0,1
6,0,0,1,1,1
7,0,0,1,1,1
8,1,1,1,0,0
9,1,1,0,1,0
10,1,0,0,1,1
11,1,0,1,0,1
12,1,1,0,0,1
13,0,0,1,1,1
14,1,0,1,0,1
15,1,1,0,1,0
16,1,0,1,1,0
17,1,1,0,0,1
18,1,0,1,1,0
19,1,1,0,1,0
20,0,1,1,1,0
21,0,1,1,0,1
22,1,0,1,0,1
23,1,1,0,0,1
24,0,0,1,1,1
25,0,1,1,0,1
26,1,0,1,1,0
27,1,1,0,0,1
28,0,1,0,1,1
29,1,0,1,0,1
30,0,1,1,1,0
31,1,1,0,1,0
32,0,1,0,1,1
33,0,1,1,1,0
34,1,0,1,1,0
35,1,0,0,1,1
36,1,1,0,1,0
37,0,0,1,1,1
38,0,1,0,1,1
39,0,1,0,1,1
40,1,1,0,1,0
41,0,0,1,1,1
42,0,1,1,0,1
43,1,0,0,1,1
44,0,1,1,1,0
45,0,1,1,0,1
46,1,1,0,0,1
47,1,0,1,0,1
48,1,1,0,0,1
49,1,1,1,0,0
50,0,1,1,1,0
51,1,0,1,1,0
52,0,1,1,1,0
53,0,1,0,1,1
54,0,1,1,1,0
55,0,1,0,1,1
56,1,0,1,1,0
57,0,1,1,0,1
58,1,1,0,1,0
59,1,1,1,0,0
60,0,1,1,1,0
61,0,0,1,1,1
62,1,0,0,1,1
63,1,0,1,0,1
64,1,1,0,0,1
65,0,1,1,1,0
66,1,1,0,1,0
67,1,1,0,0,1
68,1,1,1,0,0
69,1,0,1,0,1
