,Capacity
0,35
1,48
2,68
3,32
4,59
5,38
6,30
7,43
8,54
9,58
10,35
11,57
12,34
13,66
14,40
15,41
16,58
17,56
18,62
19,42
20,52
21,33
22,41
23,66
24,50
25,70
26,67
27,38
28,47
29,56
30,51
31,47
32,39
33,36
34,64
35,37
36,43
37,47
38,30
39,42
40,55
41,44
42,65
43,60
44,68
45,30
46,55
47,56
48,30
49,66
50,57
51,46
52,42
53,66
54,46
55,49
56,38
57,49
58,30
59,38
60,51
61,47
62,36
63,68
64,64
65,59
66,68
67,63
68,42
69,70
70,69
71,64
72,48
73,36
74,39
75,50
76,61
77,47
78,66
79,36
80,40
81,38
82,63
83,33
84,67
85,47
86,51
87,50
88,31
89,34
90,70
91,39
92,59
93,44
94,55
95,38
96,62
97,56
98,62
99,56
100,67
101,66
102,59
103,33
104,59
105,53
106,65
107,65
108,36
109,31
110,64
111,38
112,62
113,40
114,59
115,34
116,32
117,49
118,46
119,51
120,41
121,62
122,67
123,46
124,46
125,70
126,42
127,65
128,48
129,41
130,36
131,31
132,44
133,56
134,59
135,58
136,55
137,30
138,67
139,52
140,41
141,44
142,69
143,69
144,35
145,61
146,60
147,33
148,69
149,41
150,40
151,46
152,32
153,42
154,31
155,60
156,31
157,46
158,36
159,39
160,42
161,36
162,40
163,41
164,62
165,39
166,57
167,43
168,47
169,51
170,41
171,61
172,55
173,53
174,42
175,68
176,38
177,48
178,40
179,33
180,36
181,37
182,31
183,67
184,31
185,34
186,69
187,42
188,59
189,50
190,67
191,40
192,65
193,32
194,70
195,53
196,37
197,30
198,46
199,63
200,42
201,41
202,40
203,38
204,32
205,35
206,30
207,30
208,69
209,47
210,69
211,63
212,64
213,38
214,48
215,61
216,31
217,67
218,33
219,66
220,43
221,47
222,37
223,37
224,54
225,48
226,70
227,32
228,58
229,44
230,48
231,34
232,69
233,57
234,43
235,32
236,30
237,41
238,48
239,58
240,37
241,70
242,54
243,63
244,34
245,36
246,43
247,62
248,70
249,59
250,68
251,55
252,69
253,43
254,60
255,66
256,59
257,37
258,37
259,45
260,46
261,36
262,62
263,42
264,32
265,59
