,Class,PeriodsA,PeriodsB
0,History,"[5, 3, 4, 2]","[4, 1, 5]"
1,Biology,"[7, 4, 5]",[]
2,Chemistry,[],"[3, 1, 2, 4]"
3,Physics,"[3, 0, 2]","[5, 6]"
4,English,"[7, 4, 3]","[4, 1]"
5,Optimization,"[6, 5, 7]","[2, 7, 0]"
6,Machine Learning,"[6, 3, 1, 2]","[2, 4, 0]"
7,Business,"[5, 6, 7]","[3, 6]"
8,Astro Engineering,[],"[6, 7, 2, 3]"
9,Aero Engineering,[],"[6, 0, 2]"
10,Political Science,"[6, 1]","[4, 5, 2]"
11,Social Science,"[1, 2]",[]
12,Chinese,"[3, 6, 0]","[6, 2, 7]"
13,French,"[6, 2]","[2, 0, 1, 3]"
14,Spanish,"[3, 5, 0, 7]","[6, 7]"
15,Algebra,[],"[7, 2, 4]"
